studentNo,name,courseCode,academicYear,section,room,cabinet,drawer
2022-69082-SJ-0,LOPEZ GREGORIO D,BSBA-FM,2022,1-2,1,F,4
2023-38462-SJ-0,QUIZON CYNTHIA C,BSENT,2023,3-2,1,B,1
2023-20382-SJ-0,CRUZ DAPHNE P,BSENT,2023,4-2,1,F,1
2022-25152-SJ-0,REYES CARMELO O,BSEDUC,2022,1-2,1,F,3
2023-70215-SJ-0,DE LEON ARNEL P,BSENT,2023,3-1,1,C,4
2023-34236-SJ-0,SISON CYNTHIA T,BSENT,2023,2-1,1,C,2
2023-99337-SJ-0,PINEDA EDGAR L,BSIT,2023,2-1,1,E,2
2021-19500-SJ-0,LIM EFREN N,BSPSYCH,2021,3-2,1,C,2
2024-46619-SJ-0,GONZALES EFREN G,BSEDUC,2024,2-2,1,F,4
2025-79356-SJ-0,TORRES IMELDA M,BSIT,2025,4-1,1,E,4
2021-74251-SJ-0,SARMIENTO ANGELO S,BSENT,2021,4-1,1,D,2
2023-15891-SJ-0,VILLANUEVA ARNEL D,BSPSYCH,2023,2-2,1,B,2
2025-61833-SJ-0,DEL ROSARIO ISMAEL C,BSENT,2025,4-1,1,A,3
2021-89377-SJ-0,RAMOS OSCAR M,BSPSYCH,2021,2-1,1,C,2
2023-40305-SJ-0,BAUTISTA CARMELO M,BSENT,2023,3-2,1,B,2
2022-45407-SJ-0,REYES GINA W,BSENT,2022,3-2,1,D,2
2021-96883-SJ-0,CASTRO FELICIDAD M,BSIT,2021,1-2,1,F,1
2024-27660-SJ-0,DIZON BERNADETTE B,BSIT,2024,2-2,1,E,4
2021-95252-SJ-0,NAVARRO BENJIE A,BSENT,2021,3-2,1,B,3
2021-79815-SJ-0,SARMIENTO GABRIEL H,BSENT,2021,2-1,1,A,3
2021-53293-SJ-0,RAMOS DANTE Y,BSIT,2021,4-1,1,B,2
2025-44020-SJ-0,REYES OSCAR M,BSEDUC,2025,3-1,1,F,4
2022-63231-SJ-0,BAUTISTA DANTE O,BSENT,2022,3-1,1,F,1
2022-95929-SJ-0,AQUINO FELICIDAD N,BSEDUC,2022,3-2,1,A,4
2021-49473-SJ-0,NAVARRO ANGELO E,BSBA-FM,2021,4-1,1,F,3
2024-42629-SJ-0,SANTOS NINA D,BSENT,2024,4-1,1,B,1
2025-26225-SJ-0,VELASCO MARIO W,BSENT,2025,2-2,1,F,4
2025-81457-SJ-0,SALVADOR TERESA G,BSEDUC,2025,4-2,1,E,1
2021-90359-SJ-0,DE LEON HAZEL D,DIT,2021,1-2,1,A,3
2024-75498-SJ-0,BERNARDO BENJIE O,BSENT,2024,4-1,1,C,3
2024-90065-SJ-0,CASTILLO FELICIDAD A,BSENT,2024,4-2,1,C,3
2023-49949-SJ-0,PINEDA BERNADETTE P,BSBA-FM,2023,4-2,1,B,2
2022-23201-SJ-0,BAUTISTA EDGAR G,BSENT,2022,3-2,1,E,2
2021-30411-SJ-0,GARCIA RICO G,DIT,2021,3-1,1,D,2
2021-60886-SJ-0,ZUNIGA CYNTHIA F,DIT,2021,1-1,1,E,2
2022-73723-SJ-0,CASTRO ROWENA A,BSIT,2022,2-1,1,E,2
2025-87570-SJ-0,PINEDA EDGAR J,BSENT,2025,3-1,1,F,4
2022-36462-SJ-0,JIMENEZ ROWENA Y,DIT,2022,1-1,1,E,3
2023-89574-SJ-0,BAUTISTA HAZEL N,BSENT,2023,3-2,1,D,1
2024-38658-SJ-0,MENDOZA TERESA L,BSENT,2024,3-1,1,B,2
2024-28499-SJ-0,VELASCO NINA N,BSPSYCH,2024,2-1,1,D,2
2024-70644-SJ-0,CASTILLO EDGAR B,BSIT,2024,4-1,1,F,4
2022-86242-SJ-0,CASTRO EDGAR A,BSIT,2022,3-1,1,E,3
2021-54905-SJ-0,PINEDA PAOLO A,DIT,2021,3-1,1,D,1
2025-29174-SJ-0,CASTILLO BERNADETTE E,BSIT,2025,3-2,1,F,2
2025-39624-SJ-0,TORRES HAZEL F,BSBA-FM,2025,3-1,1,D,2
2021-18918-SJ-0,AQUINO ANGELO E,BSPSYCH,2021,3-1,1,D,3
2021-72544-SJ-0,DEL ROSARIO CARMELO Y,BSEDUC,2021,3-2,1,C,4
2023-88388-SJ-0,LOPEZ JOCELYN P,BSENT,2023,4-1,1,B,1
2023-50683-SJ-0,JIMENEZ ARNEL B,BSENT,2023,4-1,1,C,4
2025-10001-SJ-0,DELA PENA HAROLD PRINCE E,BSIT,2025,4-1,1,A,1
2025-10002-SJ-0,FLORIDA RJ JACK A,BSIT,2025,4-1,1,A,2
2025-10003-SJ-0,MARIANO CEDRICK JOSEPH H,BSIT,2025,4-1,1,A,3
2025-10004-SJ-0,MASULINO PAULO D,BSIT,2025,4-1,1,B,1
2025-10005-SJ-0,POCHE JOSHUA D,BSIT,2025,4-1,1,B,2
2025-10006-SJ-0,DELA CRUZ JUAN AQUINO L,BSIT,2025,4-1,1,B,3
2025-10007-SJ-0,SANTOS MARIA B,BSIT,2025,4-1,1,B,4
2025-10008-SJ-0,DELA CRUZ JUAN A,BSIT,2025,4-1,1,C,1
2025-10009-SJ-0,MERCADO LIAM CARTER V,BSIT,2025,4-1,1,C,2
2025-10010-SJ-0,RAMIREZ GABRIEL MATEO S,BSIT,2025,4-1,1,C,3
